"company","jobType.0","location","positionName","rating","reviewsCount","salary","text_salary","numeric_salary","Python","SQL","Azure"," R ","AWS","Spark","Power BI","Tableau","Java","Excel","Git","HBO","WO","Master","Bachelor","degree1","degree2","experience"
"REMOBIS Refund Service C.V","Full-time","Utrecht","Credit Risk Analyst",3.3,4,"","",NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,"Bachelor","WO","Medior"
"FOTONIQ","Other","Delft","Data Analyst Intern",NA,NA,"","",NA,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,"Master","WO","Junior"
"Eneco","Part-time","Rotterdam","Junior Analyst",3.6,130,"€ 58.000 - € 80.000 per jaar","per jaar",69000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"Bachelor","WO","Junior"
"Evalan","Full-time","Amsterdam Centrum","Business Analyst",NA,NA,"","",NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"None","WO","Medior"
"LOGEX Group B.V.","Full-time","Amsterdam","Data Engineer (dutch speaking)",3.8,5,"","",NA,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,"Bachelor","WO","Junior"
"Odido","Unknown","Den Haag","Product Owner Realtime Analytics",4.2,5,"","",NA,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,"None","HBO","Senior"
"Booking.com","Full-time","Amsterdam Centrum","Senior Financial Analyst",3.7,1112,"","",NA,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,"Bachelor","WO","Senior"
"Quion Groep B.V.","Full-time","Capelle aan den IJssel","Senior Business Analist (Datamanagement)",2.3,4,"€ 4.499 - € 6.425 per maand","per maand",70787.52,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,"None","HBO","Senior"
"Rabobank","Full-time","Utrecht","Business Analyst",3.9,1426,"","",NA,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,"Both","WO","Medior"
"B&S","Full-time","Farmsum","Commercial Data Analyst",3.3,13,"Tot € 4.500 per maand","Tot   per maand",58320,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"Bachelor","WO","Junior"
"Belastingdienst","Part-time","Utrecht","Data analist",3.6,223,"€ 4.691 - € 6.907 per maand","per maand",75155.04,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,"None","HBO","Junior"
"Interfood","Full-time","Nederland","Business Analyst Global",3.9,23,"","",NA,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,"Bachelor","HBO","Junior"
"Albert Heijn","Full-time","Zaandam","Junior Data Scientist Digital",3.6,3590,"","",NA,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,"Master","WO","Junior"
"Stedin","Unknown","Rotterdam","Analist Business Intelligence",3.8,20,"","",NA,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,"None","HBO","Medior"
"IKEA","Full-time","Amsterdam","DATA ANALYST, OMNI MEETING POINTS, RETAIL INSIGHTS & ANALYTICS",3.7,12613,"","",NA,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,"None","HBO","Medior"
"Laborie Medical Technologies Corp","Full-time","Amsterdam Zuid","Market Research Analyst",3.6,37,"","",NA,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,"None","WO","Junior"
"Mindray","Unknown","Hoevelaken","Data Specialist - NWEU (based in Netherlands)",3.4,104,"","",NA,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,"None","HBO","Medior"
"FIT","Full-time","Dordrecht","Master Data Analyst",5,4,"","",NA,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,"Master","HBO","Junior"
"Société Générale","Unknown","Amsterdam","FIG Analyst – M/W- H/F/X",3.8,3666,"","",NA,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,"Master","WO","Junior"
"DHL","Unknown","Maastricht","Business Analyst ITDS",3.6,27754,"","",NA,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,"Master","WO","Junior"
"Cosun","Full-time","Alphen aan den Rijn","Lead Data Analist",4.5,25,"","",NA,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"None","HBO","Senior"
"Rabobank","Full-time","Utrecht","Data Management Consultant",3.9,1426,"","",NA,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,"Both","WO","Medior"
"Ring of Security B.V. - H42","Full-time","Amsterdam","Product Data Analyst, Ring AI Data Engineering & Analytics",3.5,49998,"","",NA,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,"None","HBO","Medior"
"AMPSTEK","Unknown","Thuiswerk","Qlik Replicate/Qlik Data Integration_ Across Europe Remote",NA,NA,"","",NA,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,"None","WO","Senior"
"ILIAS Solutions","Unknown","Almere","Data Analyst",NA,NA,"","",NA,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,"Both","WO","Medior"
"EIFFEL","Unknown","Den Haag","Medior Data Engineer",4.1,30,"€ 2.800 - € 3.500 per maand","per maand",40824,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,"None","HBO","Medior"
"House of Bèta","Part-time","Den Bosch","Traineeship Data Science",4.7,20,"€ 2.972 per maand","per maand",38517.12,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,"Master","HBO","Junior"
"Action","Part-time","Zwaagdijk-Oost","Digital Marketing Analyst",2.9,2040,"","",NA,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,"Bachelor","HBO","Medior"
"Rabobank","Full-time","Utrecht","Business Analyst Rabo Identity Services",3.9,1426,"","",NA,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,"None","WO","Senior"
"a.s.r.","Unknown","Utrecht","ICT Consultant Schade",4.1,103,"€ 3.400 - € 6.400 per maand","per maand",63504,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"None","HBO","Medior"
"Coolgradient","Full-time","Amsterdam Nieuw-West","Medior Data Analyst",NA,NA,"€ 35 - € 50 per uur","per uur",87040,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,"None","WO","Medior"
"Gaming Laboratories International","Unknown","Haarlem","Math Analyst I_NL",3.4,62,"","",NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,"Bachelor","WO","Junior"
"Rituals","Unknown","Amsterdam","Business Analyst - Procurement and Sourcing",3.3,699,"","",NA,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,"Both","WO","Medior"
"Equinix","Full-time","Amsterdam Oost","Junior Business Process Analyst- Dutch & English required",3.7,358,"","",NA,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,"Bachelor","WO","Junior"
"Stedin","Part-time","Rotterdam","Data Analist",3.8,20,"€ 5.792 per maand","per maand",75064.32,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"None","HBO","Medior"
"Boston Scientific Corporation","Unknown","Kerkrade","Data Analyst- Capital Equipment and Customer Care EMEA",3.9,2286,"","",NA,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,"Bachelor","WO","Medior"
"House of Bèta","Full-time","Amsterdam","Junior Data Specialist",4.7,20,"€ 3.250 per maand","per maand",42120,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,"Master","HBO","Junior"
"Beequip","Full-time","Rotterdam","Data Analyst",5,2,"","",NA,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,"Master","WO","Medior"
"Amadeus","Full-time","Utrecht","Product Designer",4,320,"","",NA,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,"None","WO","Senior"
"Fujifilm Manufacturing Europe B.V.","Unknown","Tilburg","Customs Master Data Analyst",NA,NA,"€ 3.261 - € 4.615 per maand","per maand",51036.48,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Master","HBO","Medior"
"Hogeschool Utrecht","Full-time","Utrecht","Senior Mendix Ontwikkelaar Research",3.2,34,"€ 6.114,87 per maand","per maand",79248.7152,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,"Both","WO","Senior"
"ON THAT ASS","Unknown","Rosmalen","Senior Data Analist",NA,NA,"€ 5.000 - € 6.000 per maand","per maand",71280,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,"None","HBO","Senior"
"Lunet","Part-time","Eindhoven","Data - Analist",3.4,28,"","",NA,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,"None","HBO","Junior"
"Corbion","Full-time","Gorinchem","Senior B2B Pricing Analyst",3.2,86,"","",NA,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,"Bachelor","WO","Medior"
"Gemeente Zwolle","Part-time","Zwolle","Data-analist",4.3,15,"Tot € 5.621 per maand","Tot   per maand",72848.16,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,"None","HBO","Medior"
"FLYR Labs","Unknown","Amsterdam","Senior Fullstack Engineer",2.8,4,"","",NA,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,"None","WO","Senior"
"VvAA","Unknown","Utrecht","Marketing Data Analist",4.1,22,"€ 4.250 - € 4.950 per maand","per maand",59616,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,"None","HBO","Medior"
"MVGM","Part-time","Rijswijk","Werkstudent Data Analytics | MVGM Wonen",3.1,29,"","",NA,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"None","WO","Junior"
"Hollister Incorporated","Unknown","Amersfoort","Business Analyst Benelux",3.6,142,"","",NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"None","WO","Medior"
"Converse","Full-time","Hilversum","Digital Analyst WE - Converse",4,772,"","",NA,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,"None","HBO","Medior"
"Albert Heijn","Full-time","Zaandam","Junior Machine Learning Engineer Digital",3.6,3590,"","",NA,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,"None","WO","Junior"
"EVBox","Unknown","Amsterdam","Business Finance Analyst/Junior Business Controller",3.8,12,"","",NA,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,"Both","HBO","Medior"
"Erasmus MC","Unknown","Rotterdam","Data analist bij de Zorgadministratie",3.9,88,"€ 4.678 - € 6.402 per maand","per maand",71798.4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,"None","HBO","Senior"
"Irdeto","Full-time","Hoofddorp","Market Intelligence Intern",3.8,44,"","",NA,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,"None","WO","Junior"
"ZDHC Foundation","Full-time","Amsterdam","(Junior) Financial Analyst",NA,NA,"","",NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"None","WO","Not Specified"
"Rijksvastgoedbedrijf (Ministerie van BZK)","Unknown","Den Haag","Business Analist",3.5,8,"","",NA,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"None","HBO","Medior"
"Holland Talent Group","Part-time","Rijnsburg","Business Analist mét een passie voor...",NA,NA,"€ 4.000 - € 7.000 per maand","per maand",71280,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,"None","HBO","Junior"
"Johnson Controls International","Full-time","Echt","Senior Financial Analyst",3.6,8402,"","",NA,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,"Both","WO","Senior"
"Atradius","Full-time","Amsterdam","Senior Quantitative Analyst/ Quantitative Risk Manager",4.1,35,"","",NA,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,"Master","HBO","Senior"
"Politie","Unknown","Driebergen","analist Electronic Crimes Taskforce",4,220,"€ 2.888 - € 4.714 per maand","per maand",49260.96,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,"Bachelor","HBO","Medior"
"Coöperatie VGZ","Full-time","Arnhem","Data Engineer",3.9,142,"","",NA,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,"None","HBO","Medior"
"Wageningen University & Research","Unknown","Wageningen","Analist met een achtergrond in analytische chemie",4.2,18,"€ 2.695 - € 4.001 per maand","per maand",43390.08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"Bachelor","WO","Junior"
"Coolgradient","Full-time","Amsterdam Nieuw-West","Lead Data Scientist",NA,NA,"€ 3.000 - € 8.000 per maand","per maand",71280,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,"None","WO","Senior"
"Coöperatie VGZ","Full-time","Eindhoven","Informatie Analist",3.9,142,"","",NA,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,"None","HBO","Senior"
"Bullhorn","Full-time","Thuiswerk","Compliance Analyst",3.9,29,"","",NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,"Bachelor","WO","Medior"
"Achmea","Part-time","Tilburg","Business Analist - Business Intelligence",3.8,224,"€ 3.855 - € 5.293 per maand","per maand",59279.04,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,"None","HBO","Medior"
"Politie","Unknown","Rotterdam","financieel analist grootboekbeheer",4,220,"€ 3.138 - € 5.055 per maand","per maand",53090.64,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"None","WO","Junior"
"SSC-ICT (Ministerie van BZK)","Unknown","Den Haag","Security Analist",NA,NA,"","",NA,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,"None","HBO","Medior"
"Belastingdienst","Part-time","Apeldoorn","Senior Business performance & financial analist",3.6,223,"€ 5.212 - € 7.747 per maand","per maand",83974.32,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"None","WO","Senior"
"TKH Security","Part-time","Zoetermeer","Business Analist",4.7,7,"€ 2.700 - € 4.700 per maand","per maand",47952,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,"None","HBO","Junior"
"WerkTalent","Full-time","Breda","Junior Controller / Data Analist|€3000-€3500",4.4,50,"€ 3.000 - € 3.500 per maand","per maand",42120,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,"None","HBO","Junior"
"Radboudumc","Unknown","Nijmegen","Data-analist acute zorg",3.9,54,"€ 3.655 - € 5.010 per maand","per maand",56149.2,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,"None","HBO","Medior"
"Ministerie van Justitie en Veiligheid, Justitiële ICT Organisatie (JIO)","Part-time","Gouda","Business intelligence ontwikkelaar",NA,NA,"","",NA,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,"None","HBO","Medior"
"Gemeente Amsterdam","Part-time","Amsterdam","Data-analist Belastingen",4,188,"€ 4.211 - € 5.997 per maand","per maand",66147.84,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,"None","HBO","Medior"
"Medtronic","Full-time","Heerlen","Diabeter Principal IT Business Analyst/Product Owner",3.8,5366,"","",NA,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,"Bachelor","WO","Senior"
"Rabobank","Full-time","Utrecht","Senior Finance & Risk Analyst",3.9,1426,"€ 3.677,26 - € 5.252,05 per maand","per maand",57861.9936,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"Both","WO","Senior"
"Mimecast","Unknown","Hilversum","Sales Operations Analyst (German Speaker)",3.5,28,"","",NA,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,"None","WO","Medior"
"Emerson","Full-time","Rijswijk","Senior Business Analyst",3.8,3196,"","",NA,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"None","WO","Senior"
"Royal FloraHolland","Full-time","Naaldwijk","Finance Business Analist",3.8,140,"","",NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"None","WO","Medior"
"Vermaat","Part-time","IJsselstein","Data Analist",3.5,183,"","",NA,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,"Master","WO","Senior"
"Kramp GmbH","Full-time","Varsseveld","Analytics Manager Operations",3.5,48,"","",NA,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,"None","HBO","Senior"
"DXC Technology","Full-time","Nederland","Security & Risk Management Consultant (With Dutch)",3.2,4649,"","",NA,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,"Both","WO","Senior"
"Fluke","Unknown","Eindhoven","FP&A Manager/Senior Commercial Analyst",3.5,124,"","",NA,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,"Both","WO","Senior"
"Politie","Unknown","Den Haag","lead analist zaaksanalyse - Team Thematische Intelligence",4,220,"€ 3.484 - € 5.489 per maand","per maand",58145.04,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,"Bachelor","HBO","Senior"
"Essity","Full-time","Zeist","Financial Planning & Analysis (FP&A) Analyst",3.5,372,"","",NA,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,"Both","WO","Medior"
"Thermo Fisher Scientific","Full-time","Bleiswijk","Sr. Payroll Compliance Analyst",3.4,5031,"€ 13 per uur","per uur",26624,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"None","WO","Senior"
"Personato","Unknown","Tegelen","Business Analist",NA,NA,"","",NA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"None","HBO","Senior"
"Clean Globe Staffing B.V.","Unknown","Amsterdam Centrum","Commercial Strategy Intern – Global Carbon Markets",NA,NA,"","",NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"None","WO","Junior"
"APG","Full-time","Amsterdam","DevOps Engineer - Master Data developer",3.6,39,"€ 4.500 - € 7.018 per maand","per maand",74636.64,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,"Both","WO","Senior"
"LyondellBasell Industries","Unknown","Rotterdam","Sr. Software Engineer - Security",3.7,841,"","",NA,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,"None","WO","Senior"
"Orbisk","Full-time","Utrecht","Data Analyst",NA,NA,"€ 4.500 - € 6.000 per maand","per maand",68040,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,"Both","HBO","Medior"
"Magnit","Unknown","Thuiswerk","Financial Operations Analyst",3.7,377,"","",NA,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,"Both","WO","Medior"
"ABN AMRO","Unknown","Amersfoort","Financial Economic Crime Investigator - Senior",4.1,1346,"€ 5.847 - € 8.353 per maand","per maand",92016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"None","WO","Senior"
"ABN AMRO","Unknown","Amsterdam","Business Developer Credit Risk",4.1,1346,"","",NA,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,"Master","WO","Senior"
"ABN AMRO","Unknown","Amersfoort","Financial Economic Crime Investigator - Medior",4.1,1346,"€ 5.112 - € 7.303 per maand","per maand",80449.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"None","WO","Medior"
"JLL","Unknown","Amsterdam","Development & Asset Manager",3.7,3604,"","",NA,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,"Master","WO","Senior"
"Gemeente Amsterdam","Part-time","Amsterdam","Productowner Dataplatform Core",4,188,"€ 5.008 - € 6.777 per maand","per maand",76366.8,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,"Master","HBO","Senior"
"Gemeente Amsterdam","Part-time","Amsterdam","Functioneel beheerder medior",4,188,"€ 3.317 - € 4.752 per maand","per maand",52287.12,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,"None","HBO","Medior"
"Stater","Full-time","Amersfoort","DevOps Engineer / ML-Engineer",3.1,19,"€ 4.586 - € 5.733 per maand","per maand",66867.12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"None","WO","Senior"
"Radboudumc","Unknown","Nijmegen","Postdoc 'Electrophysiology and stimulus discrimination'",3.9,54,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"None","WO","Senior"
"Cass Information Systems","Full-time","Breda","Client Account Analyst",NA,NA,"","",NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,"Bachelor","WO","Medior"
"UNIS group","Full-time","Grou","Data Analist",4.6,18,"","",NA,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,"None","HBO","Medior"
"Metyis AG","Other","Amsterdam","Data Science Intern",NA,NA,"","",NA,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,"Both","WO","Junior"
"VvAA Groep B.V.","Full-time","Utrecht","Marketing Data Analist",NA,NA,"€ 4.750 - € 4.950 per maand","per maand",62856,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,"None","HBO","Medior"
"ViCentra","Full-time","Utrecht","Financial Analyst",4.3,3,"","",NA,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,"Both","WO","Medior"
"Roodenburg","Part-time","Krimpen aan den IJssel","Data Analist Gebouwbeheer",NA,NA,"","",NA,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,"None","HBO","Junior"
"Finventory","Full-time","Oud Gastel","Data & Risk Analist",NA,NA,"€ 3.000 - € 3.250 per maand","per maand",40500,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,"Master","HBO","Junior"
"Buurts","Part-time","Haarlem","Data Analist",NA,NA,"€ 3.528 - € 5.202 per maand","per maand",56570.4,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,"None","HBO","Medior"
"DataTalent B.V.","Part-time","Leeuwarden","Traineeship Datagedreven Overheid",4.5,8,"€ 2.600 - € 2.900 per maand","per maand",35640,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"Master","HBO","Junior"
"CINQ ICT B.V.","Unknown","Amsterdam-Zuidoost","Splunk Specialist",NA,NA,"€ 3.000 - € 6.200 per maand","per maand",59616,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,"None","HBO","Medior"
"AFS Group B.V.","Full-time","Amsterdam Centrum","Junior Financial Analist | AFS Interest",3.6,5,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"Master","WO","Junior"
"Avery Dennison","Full-time","Oegstgeest","Senior Business Intelligence and Finance Excellence Analyst",3.8,1325,"","",NA,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,"Bachelor","HBO","Senior"
"DA VINCI DERIVATIVES","Full-time","Amsterdam","Trading Analyst",NA,NA,"","",NA,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,"None","WO","Junior"
"Microsoft","Full-time","Middenmeer","Document Control Analyst - Data Center",4.2,8542,"","",NA,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,"None","WO","Medior"
"Hans Anders Nederland","Unknown","Gorinchem","Marketing Analist",3.8,200,"","",NA,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,"None","HBO","Junior"
"IDEXX","Full-time","Hoofddorp","Business Analyst, Global Reference Lab Information Management",3.3,753,"","",NA,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,"Both","WO","Medior"
"Welbions","Full-time","Hengelo OV","Projectleider/Procesverbeteraar",NA,NA,"€ 4.131 - € 5.897 per maand","per maand",64981.44,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,"None","HBO","Medior"
"Wikimedia Foundation","Unknown","Amsterdam","Senior Manager, Fundraising Data & Analytics",3.7,15,"","",NA,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,"Master","WO","Senior"
"ABN AMRO","Unknown","Amsterdam","Data Analyst - Transaction Banking",4.1,1346,"€ 4.466 - € 6.380 per maand","per maand",70282.08,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,"None","WO","Junior"
"Rabobank","Full-time","Utrecht","Data Analyst",NA,NA,"","",NA,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,"Master","WO","Medior"
"Rijksdienst Caribisch Nederland","Full-time","Bonaire","RIVM Business analist/kwaliteitsmedewerker",NA,NA,"","",NA,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,"None","HBO","Medior"
"InControl","Part-time","Woerden","Application Developer – Supply Chain Simulation",3.1,9,"","",NA,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,"None","HBO","Medior"
"Flow Traders","Unknown","Amsterdam","Senior Software Engineer Java",NA,NA,"","",NA,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,"None","WO","Senior"
"Bacardi-Martini","Full-time","Rotterdam","FINANCIAL ANALYST",4,317,"","",NA,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,"Both","WO","Junior"
"Action","Unknown","Zwaagdijk-Oost","Data Analyst",2.9,2040,"","",NA,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,"Bachelor","WO","Junior"
"Professionele Diensten","Unknown","Haaglanden","Data analist",NA,NA,"","",NA,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,"Both","WO","Medior"
"Mathrix","Full-time","Amsterdam","Quant Analyst",NA,NA,"","",NA,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,"Master","WO","Medior"
"KPN","Unknown","Rotterdam","Analyst Strategic Intelligence",3.9,751,"€ 5.043 - € 8.255 per maand","per maand",86171.04,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,"Master","WO","Senior"
"Rabobank","Full-time","Utrecht","FEC W&R Operations Analyst",3.9,1426,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"None","WO","Senior"
"Bynder","Unknown","Amsterdam","Senior Data Scientist",3.7,3,"","",NA,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,"Both","WO","Senior"
"Parnassia","Part-time","Den Haag","Data analist",3.8,102,"","",NA,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,"Both","HBO","Medior"
"a.s.r.","Unknown","Utrecht","Business Analist Zorginkoop",4.1,103,"€ 3.800 - € 5.500 per maand","per maand",60264,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,"None","WO","Junior"
"Organisatie en Personeel Rijk (Ministerie van Binnenlandse Zaken en Koninkrijksrelaties)","Part-time","Den Haag","Data Quality Analist",NA,NA,"","",NA,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,"None","HBO","Medior"
"Picnic","Unknown","Amsterdam","Product Analyst",3.1,503,"","",NA,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,"Master","WO","Junior"
"ABN AMRO","Unknown","Amsterdam","Regulatory Reporting & Data Analyst",4.1,1346,"€ 4.466 - € 6.380 per maand","per maand",70282.08,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,"Master","WO","Junior"
"ITsPeople","Unknown","Zaltbommel","Business Analyst",NA,NA,"","",NA,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,"Both","WO","Medior"
"Aegon Asset Management","Full-time","Den Haag","Commercial Support Analyst",3.7,470,"","",NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,"Bachelor","WO","Junior"
"Maersk","Full-time","Den Haag","Business Analyst",4,3202,"","",NA,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,"Master","WO","Senior"
"Nederlandse Voedsel- en Warenautoriteit (NVWA)","Part-time","Utrecht","Business Analist IV/ICT",4.1,7,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"None","WO","Senior"
"ITsPeople","Unknown","Zaltbommel","Data Scientist",NA,NA,"","",NA,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,"Both","HBO","Junior"
"Basalt","Part-time","Leiden","Biostatisticus / Data-analist Revalidatiecentrum",NA,NA,"€ 3.923 - € 5.746 per maand","per maand",62655.12,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"None","WO","Medior"
"Crocs, Inc. Global Jobs","Unknown","Hoofddorp","HEYDUDE: Sr. FP&A Analyst, Digital",3.6,1153,"","",NA,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,"Both","WO","Senior"
"Kraft Heinz Company","Full-time","Amsterdam Centrum","Associate Director, Data Science",3.5,5082,"","",NA,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,"Both","WO","Senior"
"Dr. Oetker","Full-time","Amersfoort","Business Analist",3.6,295,"","",NA,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,"None","HBO","Medior"
"Medtronic","Full-time","Heerlen","Principal IT Business Analyst Data & Analytics",3.8,5366,"","",NA,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,"None","WO","Senior"
