"company","id","isExpired","jobType","jobType.0","jobType.1","jobType.2","jobType.3","jobType.4","jobType.5","jobType.6","location","positionName","postedAt","postingDateParsed","rating","reviewsCount","salary","scrapedAt","searchInput.country","searchInput.position","urlInput"
"Schneider Electric","316e4fec4a9f8697","false",NA,"","","","","","","","Amsterdam","Data Analyst","Zojuist geplaatst",NA,3.9,5601,"","2024-08-09T18:39:49.383Z","NL","Data Analyst",NA
"Walker & Dunlop","747f31344b717d0b","false",NA,"Parttime","","","","","","","Thuiswerk","Data Scientist - Intern","Zojuist geplaatst",NA,3.9,33,"€ 650 per maand","2024-08-09T18:39:50.755Z","NL","Data Analyst",NA
"Essent","a5ff47fcf65d5e41","false",NA,"","","","","","","","5211 Den Bosch","Compliance Specialist","1 dag geleden",NA,4,23,"€ 3.688 - € 5.734 per maand","2024-08-09T18:39:52.731Z","NL","Data Analyst",NA
"Amsterdam UMC","cbdb6ef3699fabcb","false",NA,"Bepaalde tijd","","","","","","","1081 Amsterdam Zuid","AI analist medical imaging","1 dag geleden",NA,3.5,40,"","2024-08-09T18:39:53.466Z","NL","Data Analyst",NA
"NIBC","c61b417dafebc533","false",NA,"Fulltime","","","","","","","Den Haag","Senior Business Analyst IT","1 dag geleden",NA,3.7,3,"","2024-08-09T18:39:53.744Z","NL","Data Analyst",NA
"Givaudan","f2daaf8e16ab1d61","false",NA,"","","","","","","","1411 Naarden","Scientist I","1 dag geleden",NA,3.7,650,"","2024-08-09T18:39:53.965Z","NL","Data Analyst",NA
"Erasmus Universiteit Rotterdam","3aab02f4fe32eff7","false",NA,"Parttime","","","","","","","3011 Rotterdam","Data Analist Onderwijs","1 dag geleden",NA,4.4,31,"€ 4.492 - € 6.148 per maand","2024-08-09T18:39:54.056Z","NL","Data Analyst",NA
"Amsterdam UMC","cff88d836c9c05d5","false",NA,"Fulltime","","","","","","","1081 Amsterdam Zuid","AI analyst medical imaging","1 dag geleden",NA,3.5,40,"€ 3.330 - € 4.354 per maand","2024-08-09T18:39:54.460Z","NL","Data Analyst",NA
"Crocs, Inc. Global Jobs","749b41632ca90887","false",NA,"","","","","","","","Hoofddorp","Wholesale Business Analyst","1 dag geleden",NA,3.6,1153,"","2024-08-09T18:39:54.729Z","NL","Data Analyst",NA
"IKEA","0b244315eabc6541","false",NA,"Fulltime","","","","","","","Amsterdam","Senior Data Analyst - Range and Growth Domain (Malmo/Amsterdam)","1 dag geleden",NA,3.7,12613,"","2024-08-09T18:39:54.773Z","NL","Data Analyst",NA
"Levy Professionals","8e0381c1f690d28a","false",NA,"","","","","","","","Utrecht","Business Analyst","2 dagen geleden",NA,NA,NA,"","2024-08-09T18:39:55.924Z","NL","Data Analyst",NA
"TUI Group","53d00cb76405ffe2","false",NA,"Parttime","Fulltime","","","","","","Rijswijk","Digital Business Analyst","2 dagen geleden",NA,3.7,1195,"","2024-08-09T18:39:55.942Z","NL","Data Analyst",NA
"Markel Corporation","1b82053f607f9a3a","false",NA,"Fulltime","","","","","","","Rotterdam","Pricing Analyst","1 dag geleden",NA,3.5,152,"","2024-08-09T18:39:56.070Z","NL","Data Analyst",NA
"Kamer van Koophandel","fcd1654e8695dcde","false",NA,"Uitzicht op vast","","","","","","","3511 Utrecht","Medior test automation engineer (Team ECM)","1 dag geleden",NA,4.1,51,"Tot € 5.689,30 per maand","2024-08-09T18:39:56.129Z","NL","Data Analyst",NA
