"company","id","isExpired","jobType","jobType.0","jobType.1","jobType.2","jobType.3","jobType.4","jobType.5","jobType.6","location","positionName","postedAt","postingDateParsed","rating","reviewsCount","salary","scrapedAt","searchInput.country","searchInput.position","urlInput"
"CINQ ICT B.V.","7ea4a2e15b30f63d","false",NA,"Vaste baan","Parttime","Fulltime","","","","","1101 Amsterdam-Zuidoost","Splunk Specialist","9 dagen geleden",NA,NA,NA,"€ 3.000 - € 6.200 per maand","2024-08-09T18:40:57.274Z","NL","Data Analyst",NA
"AFS Group B.V.","91f8dd6eb919f329","false",NA,"Fulltime","","","","","","","1012 Amsterdam Centrum","Junior Financial Analist | AFS Interest","9 dagen geleden",NA,3.6,5,"","2024-08-09T18:40:57.448Z","NL","Data Analyst",NA
"Avery Dennison","5dda744a12171f42","false",NA,"Fulltime","","","","","","","2342 Oegstgeest","Senior Business Intelligence and Finance Excellence Analyst","8 dagen geleden",NA,3.8,1325,"","2024-08-09T18:41:00.183Z","NL","Data Analyst",NA
"DA VINCI DERIVATIVES","817a40c6c4442081","false",NA,"Fulltime","","","","","","","Amsterdam","Trading Analyst","16 dagen geleden",NA,NA,NA,"","2024-08-09T18:41:00.247Z","NL","Data Analyst",NA
"Microsoft","2b8ed67d2bfcd20c","false",NA,"Fulltime","","","","","","","Middenmeer","Document Control Analyst - Data Center","16 dagen geleden",NA,4.2,8542,"","2024-08-09T18:41:00.439Z","NL","Data Analyst",NA
"Hans Anders Nederland","3aef93345e2be4c4","false",NA,"","","","","","","","4206 Gorinchem","Marketing Analist","13 dagen geleden",NA,3.8,200,"","2024-08-09T18:41:00.482Z","NL","Data Analyst",NA
"IDEXX","03699904cd15b964","false",NA,"Fulltime","","","","","","","2132 Hoofddorp","Business Analyst, Global Reference Lab Information Management","15 dagen geleden",NA,3.3,753,"","2024-08-09T18:41:00.542Z","NL","Data Analyst",NA
"Welbions","20ccdf868ea7390c","false",NA,"Fulltime","","","","","","","7551 Hengelo OV","Projectleider/Procesverbeteraar","8 dagen geleden",NA,NA,NA,"€ 4.131 - € 5.897 per maand","2024-08-09T18:41:00.685Z","NL","Data Analyst",NA
"Wikimedia Foundation","c578a4a5a1607034","false",NA,"","","","","","","","Amsterdam","Senior Manager, Fundraising Data & Analytics","7 dagen geleden",NA,3.7,15,"","2024-08-09T18:41:00.824Z","NL","Data Analyst",NA
"ABN AMRO","ef8a6cf8a2a28a22","false",NA,"","","","","","","","Amsterdam","Data Analyst - Transaction Banking","14 dagen geleden",NA,4.1,1346,"€ 4.466 - € 6.380 per maand","2024-08-09T18:41:00.985Z","NL","Data Analyst",NA
"Rabobank","8ebefc1a3316dd77","false",NA,"Fulltime","","","","","","","3521 Utrecht","Data Analyst","14 dagen geleden",NA,NA,NA,"","2024-08-09T18:41:01.312Z","NL","Data Analyst",NA
"Rijksdienst Caribisch Nederland","e3c1477bcc393c64","false",NA,"Fulltime","Bepaalde tijd","","","","","","Bonaire","RIVM Business analist/kwaliteitsmedewerker","10 dagen geleden",NA,NA,NA,"","2024-08-09T18:41:01.631Z","NL","Data Analyst",NA
"InControl","db3119fa155750ce","false",NA,"Parttime","Fulltime","","","","","","Woerden","Application Developer – Supply Chain Simulation","13 dagen geleden",NA,3.1,9,"","2024-08-09T18:41:02.080Z","NL","Data Analyst",NA
"Flow Traders","9e78c3e85b51bf5b","false",NA,"","","","","","","","Amsterdam","Senior Software Engineer Java","10 dagen geleden",NA,NA,NA,"","2024-08-09T18:41:02.466Z","NL","Data Analyst",NA
"Bacardi-Martini","7ec75bb6b654759a","false",NA,"Fulltime","","","","","","","Rotterdam","FINANCIAL ANALYST","17 dagen geleden",NA,4,317,"","2024-08-09T18:41:03.678Z","NL","Data Analyst",NA
"Action","e5269a77ac27f566","false",NA,"Uitzicht op vast","Fulltime","Bepaalde tijd","","","","","Zwaagdijk-Oost","Data Analyst","17 dagen geleden",NA,2.9,2040,"","2024-08-09T18:41:03.769Z","NL","Data Analyst",NA
"Professionele Diensten","cca1815190fc638c","false",NA,"Vaste baan","Parttime","Fulltime","","","","","Haaglanden","Data analist","16 dagen geleden",NA,NA,NA,"","2024-08-09T18:41:03.880Z","NL","Data Analyst",NA
"Mathrix","ef6b8252c56b380e","false",NA,"Fulltime","","","","","","","Amsterdam","Quant Analyst","17 dagen geleden",NA,NA,NA,"","2024-08-09T18:41:03.858Z","NL","Data Analyst",NA
"KPN","88f9b0a45d43a9af","false",NA,"","","","","","","","Rotterdam","Analyst Strategic Intelligence","16 dagen geleden",NA,3.9,751,"€ 5.043 - € 8.255 per maand","2024-08-09T18:41:03.980Z","NL","Data Analyst",NA
"Rabobank","a8102e4612da29c8","false",NA,"Fulltime","","","","","","","3521 Utrecht","FEC W&R Operations Analyst","15 dagen geleden",NA,3.9,1426,"","2024-08-09T18:41:04.162Z","NL","Data Analyst",NA
"Bynder","02deed756ad0f3a3","false",NA,"","","","","","","","Amsterdam","Senior Data Scientist","10 dagen geleden",NA,3.7,3,"","2024-08-09T18:41:04.255Z","NL","Data Analyst",NA
"Parnassia","b6103d8e14352ae1","false",NA,"Parttime","","","","","","","Den Haag","Data analist","16 dagen geleden",NA,3.8,102,"","2024-08-09T18:41:04.285Z","NL","Data Analyst",NA
"a.s.r.","ff1b410f57981fe4","false",NA,"","","","","","","","Utrecht","Business Analist Zorginkoop","15 dagen geleden",NA,4.1,103,"€ 3.800 - € 5.500 per maand","2024-08-09T18:41:04.459Z","NL","Data Analyst",NA
"Organisatie en Personeel Rijk (Ministerie van Binnenlandse Zaken en Koninkrijksrelaties)","b915dc331949da06","false",NA,"Parttime","Uitzicht op vast","Fulltime","Bepaalde tijd","","","","Den Haag","Data Quality Analist","15 dagen geleden",NA,NA,NA,"","2024-08-09T18:41:04.504Z","NL","Data Analyst",NA
"Picnic","ca74ee4fac004d1b","false",NA,"","","","","","","","Amsterdam","Product Analyst","16 dagen geleden",NA,3.1,503,"","2024-08-09T18:41:04.562Z","NL","Data Analyst",NA
"ABN AMRO","0d14f1c19fec73de","false",NA,"","","","","","","","Amsterdam","Regulatory Reporting & Data Analyst","16 dagen geleden",NA,4.1,1346,"€ 4.466 - € 6.380 per maand","2024-08-09T18:41:04.680Z","NL","Data Analyst",NA
"ITsPeople","76fc785cd06bbbe7","false",NA,"","","","","","","","5301 Zaltbommel","Business Analyst","17 dagen geleden",NA,NA,NA,"","2024-08-09T18:41:04.847Z","NL","Data Analyst",NA
"Aegon Asset Management","621d1f11ff386560","false",NA,"Fulltime","","","","","","","Den Haag","Commercial Support Analyst","14 dagen geleden",NA,3.7,470,"","2024-08-09T18:41:04.736Z","NL","Data Analyst",NA
"Maersk","3e26ec2e0ce60689","false",NA,"Fulltime","","","","","","","Den Haag","Business Analyst","17 dagen geleden",NA,4,3202,"","2024-08-09T18:41:04.775Z","NL","Data Analyst",NA
"Nederlandse Voedsel- en Warenautoriteit (NVWA)","164de053d6a90c2d","false",NA,"Parttime","Uitzicht op vast","Fulltime","Bepaalde tijd","","","","Utrecht","Business Analist IV/ICT","15 dagen geleden",NA,4.1,7,"","2024-08-09T18:41:05.668Z","NL","Data Analyst",NA
"ITsPeople","b0bde70e9c6d4cbc","false",NA,"","","","","","","","5301 Zaltbommel","Data Scientist","17 dagen geleden",NA,NA,NA,"","2024-08-09T18:41:05.734Z","NL","Data Analyst",NA
"Basalt","22ba9aa3eb6258ad","false",NA,"Parttime","","","","","","","2333 Leiden","Biostatisticus / Data-analist Revalidatiecentrum","15 dagen geleden",NA,NA,NA,"€ 3.923 - € 5.746 per maand","2024-08-09T18:41:05.841Z","NL","Data Analyst",NA
"Crocs, Inc. Global Jobs","02128d0bf592d5a4","false",NA,"","","","","","","","Hoofddorp","HEYDUDE: Sr. FP&A Analyst, Digital","20 dagen geleden",NA,3.6,1153,"","2024-08-09T18:41:07.447Z","NL","Data Analyst",NA
"Kraft Heinz Company","49092cbbf04b04da","false",NA,"Fulltime","","","","","","","1018 Amsterdam Centrum","Associate Director, Data Science","15 dagen geleden",NA,3.5,5082,"","2024-08-09T18:41:07.741Z","NL","Data Analyst",NA
"Dr. Oetker","25e25fd4845abe4e","false",NA,"Fulltime","","","","","","","Amersfoort","Business Analist","17 dagen geleden",NA,3.6,295,"","2024-08-09T18:41:08.132Z","NL","Data Analyst",NA
"Medtronic","410dd25dab010ce1","false",NA,"Fulltime","","","","","","","Heerlen","Principal IT Business Analyst Data & Analytics","15 dagen geleden",NA,3.8,5366,"","2024-08-09T18:41:08.165Z","NL","Data Analyst",NA
"Rabobank","17989193683dce8d","false",NA,"Fulltime","","","","","","","3521 Utrecht","Senior BI Translator / Data Analyst","16 dagen geleden",NA,3.9,1426,"","2024-08-09T18:41:08.370Z","NL","Data Analyst",NA
"Stryker","48244938f7324c74","false",NA,"","","","","","","","1012 Amsterdam Centrum","Sales Operations Analyst (Italian Speaking)","17 dagen geleden",NA,3.8,2214,"","2024-08-09T18:41:08.467Z","NL","Data Analyst",NA
"Web-IQ","9e20a7866a306c01","false",NA,"Fulltime","","","","","","","Groningen","OSINT Developer","17 dagen geleden",NA,NA,NA,"","2024-08-09T18:41:08.759Z","NL","Data Analyst",NA
"Nationale-Nederlanden","72f5bd54c4f85852","false",NA,"","","","","","","","Den Haag","Data Analist","16 dagen geleden",NA,3.8,408,"€ 3.973 - € 5.676 per maand","2024-08-09T18:41:08.654Z","NL","Data Analyst",NA
"Greenchoice","8896c33ab4a912ca","false",NA,"Fulltime","","","","","","","3014 Rotterdam","Data Analist Portfoliomanagement","18 dagen geleden",NA,4.6,11,"€ 4.107 - € 5.868 per maand","2024-08-09T18:41:08.702Z","NL","Data Analyst",NA
"Nieuwestroom","3fc0301435de364d","false",NA,"Fulltime","","","","","","","Maastricht","Data Engineer","18 dagen geleden",NA,4.7,7,"€ 4.250 - € 5.250 per maand","2024-08-09T18:41:08.845Z","NL","Data Analyst",NA
"Medtronic","3b515b573ba9a034","false",NA,"Fulltime","","","","","","","Heerlen","Principal Business Analyst (Advanced Analytics)","15 dagen geleden",NA,3.8,5366,"","2024-08-09T18:41:08.903Z","NL","Data Analyst",NA
"Metyis AG","42b3239a5b4ef45a","false",NA,"Stage","","","","","","","Amsterdam","Business Intelligence Intern","15 dagen geleden",NA,NA,NA,"","2024-08-09T18:41:09.065Z","NL","Data Analyst",NA
"Flexcity","5a3bbd6deea30a0d","false",NA,"Fulltime","","","","","","","Amsterdam","Electricity demand response analyst","14 dagen geleden",NA,3.4,4526,"","2024-08-09T18:41:09.214Z","NL","Data Analyst",NA
"Summa College","eecc811ba0449d56","false",NA,"Parttime","Bepaalde tijd","","","","","","Nederland","Business intelligence specialist","16 dagen geleden",NA,3.8,16,"€ 3.532 - € 5.228 per maand","2024-08-09T18:41:09.263Z","NL","Data Analyst",NA
"Bright Professionals","100fe29c513fc82b","false",NA,"Parttime","","","","","","","Leeuwarden","Business Analist Assetmanagement en Assetdecompositie","15 dagen geleden",NA,4.4,9,"","2024-08-09T18:41:09.316Z","NL","Data Analyst",NA
"Abbott Laboratories","d4be1c6e0c662f5f","false",NA,"Fulltime","","","","","","","Zwolle","Chemisch Analist ( start 5-ploegendienst, op termijn in dagdienst)","14 dagen geleden",NA,3.9,6466,"","2024-08-09T18:41:09.941Z","NL","Data Analyst",NA
"Kraton Corporation","da24f62ec8ffa44a","false",NA,"","","","","","","","1322 Almere","Senior Financial Analyst","14 dagen geleden",NA,3.3,75,"","2024-08-09T18:41:09.881Z","NL","Data Analyst",NA
"StrateX","116b87fd929cf716","false",NA,"Vaste baan","Parttime","Detachering","Fulltime","Projectbasis","Bepaalde tijd","","2909 Capelle aan den IJssel","Business Intelligence Consultant (BI) / Data Analist","20 dagen geleden",NA,3.6,9,"","2024-08-09T18:41:10.011Z","NL","Data Analyst",NA
"KleurrijkWonen","6644664a2d37f37e","false",NA,"Fulltime","","","","","","","4003 Tiel","Data-analist","15 dagen geleden",NA,NA,NA,"€ 4.366 - € 5.897 per maand","2024-08-09T18:41:10.158Z","NL","Data Analyst",NA
"Solidmoves Werving en Selectie","f47f0f2a116540c4","false",NA,"Vaste baan","Fulltime","","","","","","Dronten","Data Analyst","14 dagen geleden",NA,NA,NA,"€ 2.500 - € 3.899 per maand","2024-08-09T18:41:10.490Z","NL","Data Analyst",NA
"HDI Global","38f2017b76316ace","false",NA,"Fulltime","","","","","","","Rotterdam","Junior Data Analist","16 dagen geleden",NA,3.8,10,"","2024-08-09T18:41:11.184Z","NL","Data Analyst",NA
"Medtronic","fed980c559b10408","false",NA,"Fulltime","","","","","","","Heerlen","Principal Control Tower Data Analyst","15 dagen geleden",NA,3.8,5366,"","2024-08-09T18:41:12.260Z","NL","Data Analyst",NA
"Vopak","255677b501e545b9","false",NA,"Fulltime","","","","","","","Rotterdam","Senior Business Analyst","15 dagen geleden",NA,4.1,53,"","2024-08-09T18:41:13.076Z","NL","Data Analyst",NA
"Europol","a51d56a5dcd09845","false",NA,"Fulltime","","","","","","","2517 Den Haag","Specialist – Data Handler, Operational 24/7 Centre Team, Operational Centre Unit","14 dagen geleden",NA,4.3,13,"","2024-08-09T18:41:13.401Z","NL","Data Analyst",NA
"ANWB","da3224e953371bc2","false",NA,"Fulltime","","","","","","","2596 Den Haag","Risicomanager Energie","16 dagen geleden",NA,4,208,"€ 4.896 - € 8.120 per maand","2024-08-09T18:41:13.445Z","NL","Data Analyst",NA
"TMC","ff55c00558922b63","false",NA,"","","","","","","","Eindhoven","Data Analytics Engineer","14 dagen geleden",NA,4.5,2,"","2024-08-09T18:41:13.479Z","NL","Data Analyst",NA
"de Bijenkorf","d451b3d40823fc24","false",NA,"","","","","","","","Amsterdam","Spotlight Commercieel Planner","17 dagen geleden",NA,3.7,94,"€ 5.250 per maand","2024-08-09T18:41:13.729Z","NL","Data Analyst",NA
"Action","cb8de9d67f29c405","false",NA,"Full-time","Part-time","","","","","","Lelystad","Store Operations Business Analyst [Location: Zwaagdijk-Oost]","18 dagen geleden",NA,2.9,2040,"","2024-08-09T18:41:13.772Z","NL","Data Analyst",NA
"Politie","4d297d9b8fb59985","false",NA,"Vaste baan","Uitzicht op vast","Fulltime","","","","","Rotterdam","IV-expert","17 dagen geleden",NA,4,220,"€ 4.208 - € 6.176 per maand","2024-08-09T18:41:13.869Z","NL","Data Analyst",NA
"Infor","db0a843295efb7c2","false",NA,"","","","","","","","Barneveld","Dev Business Analyst, Senior","16 dagen geleden",NA,3.7,707,"","2024-08-09T18:41:14.168Z","NL","Data Analyst",NA
"Maersk","55dbe71c86fd1f83","false",NA,"Fulltime","","","","","","","Den Haag","Senior Business Analyst","17 dagen geleden",NA,4,3202,"","2024-08-09T18:41:14.149Z","NL","Data Analyst",NA
"Savills","f8fea8d4c234f36d","false",NA,"Fulltime","","","","","","","Amsterdam","Senior Market Intelligence Analist","17 dagen geleden",NA,3.6,385,"","2024-08-09T18:41:14.410Z","NL","Data Analyst",NA
"Smith & Nephew","a1fc48902164e00e","false",NA,"Fulltime","","","","","","","Nederland","Pricing Analyst - Netherlands","15 dagen geleden",NA,3.7,1102,"","2024-08-09T18:41:14.455Z","NL","Data Analyst",NA
"NS","368ffdc5a8807c9e","false",NA,"","","","","","","","3511 Utrecht","Business Analist team trein hardware en netwerken - Utrecht","15 dagen geleden",NA,3.9,143,"","2024-08-09T18:41:15.533Z","NL","Data Analyst",NA
"Rabobank","95d66065f60e923d","false",NA,"Fulltime","","","","","","","3521 Utrecht","Sr. BI developer","17 dagen geleden",NA,3.9,1426,"Tot € 90.000 per jaar","2024-08-09T18:41:16.092Z","NL","Data Analyst",NA
"Cognizant","d64bb6ece84a8cd6","false",NA,"Fulltime","","","","","","","Amsterdam","Business Analyst -Loan IQ","20 dagen geleden",NA,3.9,16531,"","2024-08-09T18:41:16.271Z","NL","Data Analyst",NA
"Thermo Fisher Scientific","4e1209045018c383","false",NA,"Fulltime","","","","","","","5651 Eindhoven","Financial Analyst III","16 dagen geleden",NA,3.4,5031,"","2024-08-09T18:41:16.443Z","NL","Data Analyst",NA
"Stater","57623049844de8a7","false",NA,"Fulltime","","","","","","","Amersfoort","Scrum Master BI","18 dagen geleden",NA,3.1,19,"€ 4.306 - € 5.383 per maand","2024-08-09T18:41:16.640Z","NL","Data Analyst",NA
"Rabobank","42758a7f553ec64c","false",NA,"Fulltime","","","","","","","3521 Utrecht","Senior Azure Developer","20 dagen geleden",NA,3.9,1426,"","2024-08-09T18:41:16.672Z","NL","Data Analyst",NA
"Perfetti Van Melle","1fd331bf17bd86b9","false",NA,"Stage","","","","","","","Schiphol","e-Commerce Analyst - Internship","17 dagen geleden",NA,3.7,212,"","2024-08-09T18:41:16.697Z","NL","Data Analyst",NA
"Rabobank","dd03507a3b1b86cc","false",NA,"Fulltime","","","","","","","3511 Utrecht","Business Analyst - Model Support Platform Area","17 dagen geleden",NA,3.9,1426,"","2024-08-09T18:41:16.774Z","NL","Data Analyst",NA
"Rabobank","1881b5f4b0a79942","false",NA,"Fulltime","","","","","","","3521 Utrecht","Azure Cloud Reliability Engineer (Medior/Senior)","15 dagen geleden",NA,3.9,1426,"","2024-08-09T18:41:17.135Z","NL","Data Analyst",NA
"Infor","e7bbc3bb0c14d7b7","false",NA,"","","","","","","","Barneveld","Software Engineer, Senior","17 dagen geleden",NA,3.7,707,"","2024-08-09T18:41:17.295Z","NL","Data Analyst",NA
"World Benchmarking Alliance","2f959e3f1d6f9899","false",NA,"Fulltime","","","","","","","Thuiswerk","Research Analyst","14 dagen geleden",NA,NA,NA,"€ 44.000 - € 49.000 per jaar","2024-08-09T18:41:17.345Z","NL","Data Analyst",NA
"Salesforce","9d9ec8a02a41245b","false",NA,"Fulltime","","","","","","","Amsterdam","ECS Account Executive 4","16 dagen geleden",NA,4.2,1211,"","2024-08-09T18:41:17.586Z","NL","Data Analyst",NA
"Saint Gobain","9133de47fe77ecbc","false",NA,"Fulltime","","","","","","","Breda","Functional Business Analyst","15 dagen geleden",NA,3.9,4150,"","2024-08-09T18:41:17.764Z","NL","Data Analyst",NA
"We Are Eves","a04837e23c268e3b","false",NA,"Fulltime","","","","","","","Amsterdam","Senior Data Analyst with Data Engineering Interest","18 dagen geleden",NA,NA,NA,"","2024-08-09T18:41:19.746Z","NL","Data Analyst",NA
"Mindshare","899548a492884daf","false",NA,"Stage","","","","","","","Amsterdam","Business Insights Director (Data consultant)","16 dagen geleden",NA,3.7,157,"","2024-08-09T18:41:20.469Z","NL","Data Analyst",NA
"SkillLab","c7c657b9f0d68230","false",NA,"","","","","","","","Amsterdam","Data Scientist (Arabic Speaking)","20 dagen geleden",NA,NA,NA,"€ 50.000 - € 55.000 per jaar","2024-08-09T18:41:20.883Z","NL","Data Analyst",NA
"Care4Agro B.V.","53463d1ef1a1b983","false",NA,"Full-time","Contract","","","","","","6709 Wageningen","Laboratory Technician","17 dagen geleden",NA,NA,NA,"€ 2.300 - € 2.700 per maand","2024-08-09T18:41:21.289Z","NL","Data Analyst",NA
"Travix","9db71f4b203bfeaf","false",NA,"","","","","","","","Amsterdam","Product Analyst (Web)","16 dagen geleden",NA,3.8,20,"","2024-08-09T18:41:21.339Z","NL","Data Analyst",NA
"Backbase","bdd6e6ce62279238","false",NA,"","","","","","","","Amsterdam","Senior Business Analyst - (Payments)","17 dagen geleden",NA,3.4,14,"","2024-08-09T18:41:21.531Z","NL","Data Analyst",NA
"Phaitality","713116884c0c373b","false",NA,"Parttime","Uitzicht op vast","Fulltime","","","","","8431 Oosterwolde","Business Analist","17 dagen geleden",NA,NA,NA,"€ 3.144 - € 5.378 per maand","2024-08-09T18:41:21.484Z","NL","Data Analyst",NA
"Elysee Dental Solutions BV","d17ddff3917fbf03","false",NA,"Vaste baan","Parttime","Fulltime","","","","","2408 Alphen aan den Rijn","Business Intelligence Specialist","16 dagen geleden",NA,4.3,3,"€ 3.500 - € 4.500 per maand","2024-08-09T18:41:21.630Z","NL","Data Analyst",NA
"Landal","ea9d7b3280a19752","false",NA,"Bepaalde tijd","Proeftijd","","","","","","2594 Den Haag","Web Analist","18 dagen geleden",NA,3.7,73,"€ 3.445 - € 4.920 per maand","2024-08-09T18:41:21.760Z","NL","Data Analyst",NA
"Delta-N","1926679dee80a3ad","false",NA,"","","","","","","","Den Haag","Data Engineer","18 dagen geleden",NA,4.8,4,"","2024-08-09T18:41:21.739Z","NL","Data Analyst",NA
"MediReva","ebf6eb5140d99dcd","false",NA,"Fulltime","","","","","","","Eindhoven","Business Analist","17 dagen geleden",NA,3.4,12,"€ 4.500 - € 5.543 per maand","2024-08-09T18:41:22.044Z","NL","Data Analyst",NA
"WEB EINDHOVEN","66c8a5d55513b71d","false",NA,"Fulltime","","","","","","","Eindhoven","Business Analist (NL)","15 dagen geleden",NA,NA,NA,"","2024-08-09T18:41:22.144Z","NL","Data Analyst",NA
"KVK","09cee9bfad435dc9","false",NA,"Parttime","Uitzicht op vast","Fulltime","Bepaalde tijd","","","","Utrecht","SOC Analist","14 dagen geleden",NA,4.1,51,"","2024-08-09T18:41:23.227Z","NL","Data Analyst",NA
"Rotterdam Engineering","645d299d28bb6569","false",NA,"","","","","","","","Rotterdam","Data Analist (GIS-er)","14 dagen geleden",NA,NA,NA,"","2024-08-09T18:41:23.568Z","NL","Data Analyst",NA
"Floral Trade Group","baccbf592e9837fb","false",NA,"Fulltime","","","","","","","Rijnsburg","Business Analist","16 dagen geleden",NA,NA,NA,"€ 3.300 - € 4.600 per maand","2024-08-09T18:41:23.857Z","NL","Data Analyst",NA
"KleurrijkWonen","756413e02336ad62","false",NA,"Uitzicht op vast","Fulltime","Bepaalde tijd","","","","","4003 Tiel","Vastgoedanalist","14 dagen geleden",NA,NA,NA,"€ 4.366 - € 5.897 per maand","2024-08-09T18:41:24.131Z","NL","Data Analyst",NA
"Ziezodan","a329a3c493317955","false",NA,"Uitzicht op vast","Fulltime","","","","","","7554 Hengelo OV","(Junior) Platform Consultant","16 dagen geleden",NA,NA,NA,"€ 3.150 - € 3.750 per maand","2024-08-09T18:41:24.165Z","NL","Data Analyst",NA
"Mploy Associates","d00537d42d20dd60","false",NA,"Full-time","","","","","","","3512 Utrecht","Business Analyst | Talent Program","21 dagen geleden",NA,4.9,36,"Vanaf € 3.600 per maand","2024-08-09T18:41:24.400Z","NL","Data Analyst",NA
"Massarius","b67905f027dacfce","false",NA,"","","","","","","","Amsterdam","Marketing analyst","20 dagen geleden",NA,NA,NA,"","2024-08-09T18:41:24.420Z","NL","Data Analyst",NA
"Rabobank","c4c5ac046de410af","false",NA,"Fulltime","","","","","","","3521 Utrecht","Agriculture and biodiversity analyst - RaboResearch","23 dagen geleden",NA,3.9,1426,"","2024-08-09T18:41:24.456Z","NL","Data Analyst",NA
"CBR","52c89283ca29d198","false",NA,"Parttime","Fulltime","","","","","","Zuid-Holland","Data Analist","21 dagen geleden",NA,3.7,29,"€ 5.972,81 per maand","2024-08-09T18:41:24.941Z","NL","Data Analyst",NA
"HumanTotalCare","bd8d1d9b82898812","false",NA,"Parttime","Fulltime","","","","","","Utrecht","Data Scientist","25 dagen geleden",NA,4,4,"€ 4.600 - € 6.500 per maand","2024-08-09T18:41:25.155Z","NL","Data Analyst",NA
"Massarius","0c88537f07d313fe","false",NA,"","","","","","","","Amsterdam","Digital account manager","20 dagen geleden",NA,NA,NA,"","2024-08-09T18:41:25.173Z","NL","Data Analyst",NA
"Accell Group","8d11769308375a18","false",NA,"Fulltime","","","","","","","Amsterdam","Global Data Analyst","22 dagen geleden",NA,2.9,22,"","2024-08-09T18:41:25.274Z","NL","Data Analyst",NA
"Adyen","160ba2b9417b0361","false",NA,"","","","","","","","Amsterdam","AML & Screening Insights Data Analyst","21 dagen geleden",NA,2.9,17,"","2024-08-09T18:41:25.359Z","NL","Data Analyst",NA
"Mploy Associates","21ba00871f9e2fcd","false",NA,"Full-time","","","","","","","3512 Utrecht","Reporting Analyst | Talent Program","21 dagen geleden",NA,4.9,36,"Vanaf € 3.600 per maand","2024-08-09T18:41:25.555Z","NL","Data Analyst",NA
"Rabobank","34cf5de3d692117c","false",NA,"Fulltime","","","","","","","3521 Utrecht","Quantitative Analyst for Biodiversity - RaboResearch","22 dagen geleden",NA,3.9,1426,"","2024-08-09T18:41:27.178Z","NL","Data Analyst",NA
"Instapro Group","075147502a62b7b7","false",NA,"Fulltime","","","","","","","Amsterdam","Fullstack Engineer (Event Tracking)","16 dagen geleden",NA,NA,NA,"","2024-08-09T18:41:27.555Z","NL","Data Analyst",NA
"MediReva","1a47e43c53491918","false",NA,"Fulltime","","","","","","","5657 Eindhoven","Data & Proces Analist","17 dagen geleden",NA,3.4,12,"€ 3.532 - € 5.046 per maand","2024-08-09T18:41:27.616Z","NL","Data Analyst",NA
"Belsimpel","17ecaa2c16b76f4d","false",NA,"Parttime","","","","","","","9712 Groningen","Werkstudent - Telecom Data Analist","24 dagen geleden",NA,4.5,4,"€ 16 per uur","2024-08-09T18:41:27.969Z","NL","Data Analyst",NA
"St. Antonius Ziekenhuis","fa95307ed306a8ee","false",NA,"","","","","","","","3543 Utrecht","Junior/Medior Informatie analist","23 dagen geleden",NA,3.5,30,"€ 55 per uur","2024-08-09T18:41:28.272Z","NL","Data Analyst",NA
"FrieslandCampina","e0c5cdcd8066b7b3","false",NA,"Parttime","Fulltime","","","","","","Amersfoort","Financial Planning & Reporting Analyst BE","23 dagen geleden",NA,4,484,"","2024-08-09T18:41:28.470Z","NL","Data Analyst",NA
"NIBC","110f46ab27402c51","false",NA,"Fulltime","","","","","","","Den Haag","Data Warehouse Engineer","23 dagen geleden",NA,3.7,3,"","2024-08-09T18:41:28.500Z","NL","Data Analyst",NA
"Rabobank","25fee118f213071a","false",NA,"Fulltime","","","","","","","3521 Utrecht","BI Analyst","24 dagen geleden",NA,3.9,1426,"","2024-08-09T18:41:28.549Z","NL","Data Analyst",NA
"Mploy Associates","05ba8cd4c8cf2871","false",NA,"Full-time","","","","","","","3512 Utrecht","Data Analyst | Talent Program","21 dagen geleden",NA,4.9,36,"Vanaf € 3.600 per maand","2024-08-09T18:41:28.639Z","NL","Data Analyst",NA
"Mploy Associates","38c970d95a9c688f","false",NA,"Full-time","","","","","","","3512 Utrecht","Software Engineer (Back-End) | Talent Program","21 dagen geleden",NA,4.9,36,"Vanaf € 3.600 per maand","2024-08-09T18:41:28.676Z","NL","Data Analyst",NA
"ABN AMRO","2f50fc3ec4480e48","false",NA,"","","","","","","","Amersfoort","Analyst III (Data)","23 dagen geleden",NA,4.1,1346,"€ 5.112 - € 7.303 per maand","2024-08-09T18:41:28.938Z","NL","Data Analyst",NA
"TenneT","81822824791cea51","false",NA,"Fulltime","","","","","","","Arnhem","Business Analyst","24 dagen geleden",NA,3.9,18,"€ 3.879 - € 7.660 per maand","2024-08-09T18:41:29.074Z","NL","Data Analyst",NA
"Uber","f2d623c320fd2379","false",NA,"Fulltime","","","","","","","Amsterdam","Strategic Planning and Analytics Associate - EMEA Sales Operations","22 dagen geleden",NA,3.4,4530,"","2024-08-09T18:41:29.195Z","NL","Data Analyst",NA
"TIP Group","56fffbddd783b305","false",NA,"Fulltime","","","","","","","Amsterdam","Business Analyst","21 dagen geleden",NA,3.5,130,"","2024-08-09T18:41:29.670Z","NL","Data Analyst",NA
"Bitvavo","32a2c8e0ca45fdcd","false",NA,"Fulltime","","","","","","","Amsterdam","Data Scientist","21 dagen geleden",NA,NA,NA,"","2024-08-09T18:41:29.632Z","NL","Data Analyst",NA
"Devoteam","4daeda99a2f97adb","false",NA,"Fulltime","","","","","","","Amsterdam","Business Analist","25 dagen geleden",NA,3.6,147,"","2024-08-09T18:41:29.760Z","NL","Data Analyst",NA
